,All Free Health Clinics,School-Based Health Centers,Other Health Providers,Federally Qualified Health Centers,Hospitals
17031611500,2.0,0.0,0.0,3.0,0.0
17031611600,2.0,0.0,0.0,3.0,0.0
17031611700,2.0,0.0,0.0,4.0,0.0
17031611800,2.0,0.0,0.0,3.0,0.0
17031611900,2.0,0.0,0.0,4.0,0.0
17031612000,2.0,0.0,0.0,5.0,0.0
17031612100,3.0,0.0,0.0,6.0,0.0
17031620100,0.0,0.0,0.0,3.0,0.0
17031620200,0.0,0.0,0.0,2.0,0.0
17031620300,0.0,0.0,0.0,2.0,0.0
17031620400,0.0,0.0,0.0,3.0,0.0
17031630100,2.0,0.0,0.0,2.0,0.0
17031630200,0.0,0.0,0.0,1.0,0.0
17031630300,0.0,0.0,0.0,3.0,0.0
17031630400,0.0,0.0,0.0,2.0,0.0
17031630500,2.0,0.0,0.0,2.0,0.0
17031630800,1.0,1.0,0.0,4.0,0.0
17031630900,1.0,0.0,0.0,4.0,0.0
17031640100,0.0,0.0,0.0,1.0,0.0
17031640300,0.0,0.0,0.0,1.0,0.0
17031640400,0.0,0.0,0.0,1.0,0.0
17031640500,0.0,0.0,0.0,0.0,0.0
17031640600,0.0,0.0,0.0,1.0,0.0
17031640700,0.0,0.0,0.0,0.0,0.0
17031640800,0.0,0.0,0.0,0.0,0.0
17031650100,0.0,0.0,0.0,2.0,0.0
17031650200,0.0,0.0,0.0,2.0,0.0
17031650301,0.0,0.0,0.0,1.0,0.0
17031650302,1.0,1.0,0.0,2.0,0.0
17031650400,0.0,0.0,0.0,0.0,0.0
17031650500,0.0,0.0,0.0,0.0,0.0
17031660301,1.0,1.0,0.0,3.0,1.0
17031660302,1.0,1.0,0.0,3.0,1.0
17031660400,1.0,1.0,0.0,3.0,0.0
17031660500,1.0,1.0,0.0,2.0,1.0
17031660600,1.0,1.0,0.0,3.0,1.0
17031660700,1.0,1.0,0.0,2.0,1.0
17031660800,1.0,1.0,0.0,3.0,1.0
17031660900,1.0,1.0,0.0,2.0,1.0
17031661000,0.0,0.0,0.0,1.0,1.0
17031661100,0.0,1.0,0.0,2.0,1.0
17031670100,3.0,0.0,0.0,2.0,0.0
17031670200,2.0,0.0,0.0,4.0,0.0
17031670300,2.0,0.0,0.0,3.0,0.0
17031670400,2.0,0.0,0.0,3.0,0.0
17031670500,2.0,0.0,0.0,2.0,0.0
17031670600,2.0,0.0,0.0,2.0,0.0
17031670700,3.0,0.0,0.0,3.0,0.0
17031670800,3.0,0.0,0.0,3.0,0.0
17031670900,1.0,0.0,0.0,2.0,0.0
17031671100,1.0,0.0,0.0,2.0,0.0
17031671200,0.0,0.0,0.0,0.0,0.0
17031671300,1.0,0.0,0.0,2.0,1.0
17031671400,1.0,1.0,0.0,2.0,1.0
17031671500,0.0,0.0,0.0,2.0,1.0
17031671600,0.0,0.0,0.0,1.0,0.0
17031671800,0.0,1.0,0.0,1.0,0.0
17031671900,0.0,1.0,0.0,2.0,0.0
17031672000,0.0,0.0,0.0,0.0,0.0
17031680500,3.0,0.0,0.0,3.0,0.0
17031680600,1.0,0.0,0.0,2.0,1.0
17031680900,1.0,0.0,0.0,2.0,1.0
17031681000,1.0,0.0,0.0,2.0,1.0
17031681100,1.0,0.0,0.0,2.0,1.0
17031681200,1.0,0.0,0.0,2.0,1.0
17031681300,1.0,0.0,0.0,2.0,0.0
17031681400,0.0,1.0,0.0,1.0,0.0
17031690300,1.0,0.0,0.0,2.0,1.0
17031690400,0.0,1.0,0.0,1.0,1.0
17031690500,0.0,1.0,0.0,0.0,0.0
17031690900,0.0,1.0,0.0,0.0,1.0
17031691000,0.0,1.0,0.0,0.0,0.0
17031691100,0.0,0.0,0.0,1.0,1.0
17031691200,0.0,1.0,0.0,0.0,0.0
17031691300,0.0,0.0,0.0,0.0,0.0
17031691400,0.0,1.0,0.0,0.0,1.0
17031691500,0.0,1.0,0.0,0.0,1.0
17031700100,0.0,0.0,0.0,0.0,0.0
17031700200,0.0,0.0,0.0,0.0,0.0
17031700301,0.0,0.0,0.0,0.0,0.0
17031700302,0.0,0.0,0.0,0.0,0.0
17031700401,0.0,0.0,0.0,0.0,0.0
17031700402,0.0,0.0,0.0,0.0,0.0
17031700501,0.0,0.0,0.0,0.0,0.0
17031700502,0.0,0.0,0.0,0.0,1.0
17031710100,0.0,1.0,0.0,1.0,0.0
17031710200,0.0,1.0,0.0,2.0,0.0
17031710300,0.0,1.0,0.0,1.0,0.0
17031710400,0.0,0.0,0.0,1.0,0.0
17031710500,0.0,1.0,0.0,1.0,0.0
17031710600,0.0,1.0,0.0,1.0,0.0
17031710700,0.0,1.0,0.0,1.0,0.0
17031710800,0.0,1.0,0.0,1.0,0.0
17031710900,0.0,1.0,0.0,1.0,0.0
17031711000,0.0,1.0,0.0,1.0,0.0
17031711100,0.0,1.0,0.0,1.0,0.0
17031711200,0.0,1.0,0.0,1.0,0.0
17031711300,0.0,0.0,0.0,1.0,0.0
17031711400,0.0,1.0,0.0,1.0,0.0
17031711500,0.0,0.0,0.0,1.0,0.0
17031720100,0.0,0.0,0.0,0.0,1.0
17031720200,0.0,0.0,0.0,1.0,0.0
17031720300,0.0,0.0,0.0,0.0,1.0
17031720400,0.0,0.0,0.0,0.0,1.0
17031720500,0.0,0.0,0.0,0.0,1.0
17031720600,0.0,0.0,0.0,0.0,0.0
17031720700,0.0,0.0,0.0,0.0,0.0
17031730100,0.0,0.0,0.0,1.0,0.0
17031730201,0.0,0.0,0.0,2.0,0.0
17031730202,0.0,0.0,0.0,1.0,0.0
17031730300,0.0,0.0,0.0,1.0,0.0
17031730400,0.0,0.0,0.0,1.0,0.0
17031730500,0.0,0.0,0.0,1.0,0.0
17031730600,0.0,0.0,0.0,1.0,0.0
17031730700,0.0,0.0,0.0,1.0,0.0
17031740100,0.0,0.0,0.0,0.0,0.0
17031740200,0.0,0.0,0.0,0.0,0.0
17031740300,0.0,0.0,0.0,0.0,0.0
17031740400,0.0,0.0,0.0,0.0,0.0
17031750100,0.0,0.0,0.0,1.0,0.0
17031750200,0.0,0.0,0.0,0.0,0.0
17031750300,0.0,0.0,0.0,0.0,0.0
17031750400,0.0,0.0,0.0,0.0,0.0
17031750500,0.0,0.0,0.0,0.0,0.0
17031750600,0.0,0.0,0.0,0.0,0.0
17031760801,0.0,0.0,0.0,0.0,0.0
17031760802,0.0,0.0,0.0,0.0,0.0
17031760803,0.0,0.0,0.0,0.0,0.0
17031770602,0.0,0.0,0.0,0.0,0.0
17031770902,0.0,0.0,0.0,0.0,0.0
17031810400,0.0,0.0,0.0,0.0,1.0
17031821402,0.0,0.0,0.0,0.0,0.0
17031823304,0.0,0.0,0.0,0.0,0.0
17031830500,0.0,1.0,1.0,1.0,0.0
17031830600,0.0,2.0,1.0,5.0,1.0
17031830700,0.0,1.0,1.0,4.0,1.0
17031830800,0.0,3.0,0.0,6.0,3.0
17031830900,0.0,0.0,1.0,0.0,0.0
17031831000,0.0,1.0,0.0,4.0,2.0
17031831100,0.0,0.0,1.0,0.0,1.0
17031831200,0.0,1.0,1.0,2.0,0.0
17031831300,0.0,0.0,0.0,1.0,0.0
17031831400,0.0,0.0,0.0,1.0,1.0
17031831500,0.0,0.0,0.0,0.0,1.0
17031831600,0.0,0.0,0.0,0.0,1.0
17031831700,0.0,0.0,0.0,0.0,1.0
17031831800,0.0,2.0,0.0,4.0,1.0
17031831900,0.0,1.0,0.0,4.0,2.0
17031832000,0.0,2.0,1.0,5.0,2.0
17031832100,0.0,2.0,1.0,7.0,4.0
17031832200,0.0,0.0,1.0,2.0,2.0
17031832300,0.0,0.0,0.0,1.0,0.0
17031832400,0.0,1.0,1.0,7.0,3.0
17031832500,0.0,0.0,0.0,2.0,0.0
17031832600,0.0,0.0,0.0,2.0,0.0
17031832900,1.0,4.0,1.0,3.0,4.0
17031833000,1.0,1.0,1.0,1.0,2.0
17031833100,1.0,3.0,1.0,0.0,4.0
17031833300,2.0,2.0,1.0,2.0,4.0
17031833900,0.0,0.0,0.0,0.0,0.0
17031834000,0.0,0.0,0.0,1.0,0.0
17031834200,0.0,1.0,0.0,1.0,1.0
17031834300,0.0,0.0,0.0,0.0,1.0
17031834400,0.0,1.0,1.0,0.0,1.0
17031834500,2.0,0.0,1.0,3.0,3.0
17031834600,2.0,0.0,0.0,2.0,1.0
17031834700,1.0,0.0,0.0,4.0,1.0
17031834800,1.0,0.0,0.0,2.0,1.0
17031834900,1.0,0.0,0.0,2.0,0.0
17031835000,1.0,1.0,0.0,3.0,1.0
17031835100,2.0,0.0,0.0,1.0,0.0
17031835200,0.0,0.0,0.0,2.0,0.0
17031835500,0.0,2.0,1.0,1.0,0.0
17031835600,1.0,2.0,1.0,2.0,1.0
17031835700,0.0,2.0,2.0,3.0,1.0
17031835800,2.0,3.0,2.0,4.0,1.0
17031835900,0.0,2.0,1.0,4.0,0.0
17031836000,1.0,3.0,1.0,5.0,1.0
17031836100,1.0,2.0,1.0,4.0,2.0
17031836200,2.0,1.0,2.0,2.0,2.0
17031836300,2.0,1.0,1.0,4.0,2.0
17031836400,1.0,1.0,0.0,2.0,0.0
17031836500,1.0,1.0,1.0,2.0,0.0
17031836600,1.0,3.0,0.0,9.0,3.0
17031836700,2.0,1.0,0.0,6.0,2.0
17031836800,1.0,2.0,0.0,4.0,2.0
17031836900,1.0,3.0,0.0,5.0,2.0
17031837000,1.0,2.0,0.0,3.0,3.0
17031837100,2.0,1.0,0.0,6.0,3.0
17031837300,1.0,1.0,0.0,3.0,4.0
17031837400,1.0,2.0,1.0,3.0,5.0
17031837800,3.0,3.0,1.0,3.0,4.0
17031838000,2.0,3.0,1.0,3.0,4.0
17031838100,1.0,3.0,1.0,3.0,4.0
17031838200,1.0,4.0,1.0,4.0,6.0
17031838300,0.0,0.0,0.0,2.0,3.0
17031838600,1.0,1.0,0.0,3.0,5.0
17031838700,0.0,1.0,1.0,6.0,2.0
17031838800,0.0,0.0,0.0,0.0,0.0
17031839000,1.0,1.0,1.0,0.0,0.0
17031839100,0.0,0.0,0.0,1.0,0.0
17031839200,0.0,4.0,3.0,2.0,1.0
17031839500,0.0,3.0,2.0,3.0,1.0
17031839600,0.0,3.0,2.0,2.0,0.0
17031839700,0.0,0.0,0.0,1.0,0.0
17031839800,0.0,0.0,2.0,1.0,0.0
17031839900,0.0,0.0,0.0,1.0,0.0
17031840000,0.0,0.0,2.0,1.0,0.0
17031840100,0.0,3.0,2.0,2.0,1.0
17031840200,0.0,0.0,1.0,0.0,0.0
17031840300,0.0,1.0,0.0,2.0,0.0
17031840400,0.0,1.0,0.0,1.0,0.0
17031840700,0.0,2.0,0.0,7.0,3.0
17031840800,0.0,0.0,1.0,4.0,1.0
17031841000,0.0,3.0,2.0,2.0,1.0
17031841100,1.0,2.0,2.0,1.0,1.0
17031841200,0.0,4.0,0.0,7.0,4.0
17031841300,0.0,2.0,0.0,7.0,0.0
17031841400,0.0,1.0,1.0,9.0,3.0
17031841500,1.0,1.0,0.0,8.0,4.0
17031841600,0.0,1.0,1.0,10.0,3.0
17031841700,0.0,1.0,1.0,10.0,3.0
17031841800,0.0,1.0,0.0,0.0,1.0
17031841900,1.0,1.0,1.0,1.0,0.0
17031842000,0.0,4.0,2.0,3.0,1.0
17031842100,0.0,2.0,0.0,3.0,1.0
17031842200,0.0,0.0,0.0,3.0,0.0
17031842300,0.0,0.0,0.0,3.0,0.0
17031842400,0.0,1.0,0.0,0.0,0.0
17031842500,1.0,0.0,0.0,2.0,1.0
17031842600,0.0,0.0,0.0,3.0,0.0
17031842800,0.0,1.0,0.0,1.0,0.0
17031842900,0.0,4.0,1.0,4.0,6.0
17031843000,0.0,1.0,0.0,4.0,1.0
17031843100,1.0,1.0,0.0,9.0,3.0
17031843200,0.0,3.0,0.0,3.0,0.0
17031843300,1.0,3.0,1.0,5.0,6.0
17031843400,0.0,1.0,1.0,3.0,0.0
17031843500,0.0,0.0,0.0,6.0,0.0
17031843600,2.0,2.0,1.0,4.0,1.0
17031843700,0.0,0.0,0.0,1.0,1.0
17031843800,1.0,1.0,1.0,2.0,1.0
17031843900,0.0,0.0,1.0,0.0,1.0
17031980000,0.0,0.0,0.0,0.0,0.0
17031980100,,,,,
